,GroupID,SessionID,LocationID,record_id,recording,start_time,end_time,latitude,longitude,Traffic,Other,Human,Natural,Pleasant,Eventful,pleasant,chaotic,vibrant,uneventful,calm,annoying,eventful,monotonous,overall,appropriateness,loudness,sss04,sss05,who01,who02,who03,who04,who05,WHO_sum,Age,Gender,occ00___1,occ00___2,occ00___3,occ00___4,occ00___5,occ00___6,occ00_other,edu00,eth00,eth00_other,misc00,misc01,misc03,misc03_other,use00,uni00,res00___1,res00___2,res00___3,res00___4,res00___5,res02,paper,language,Lockdown,FS_M0,FS_nrmse0,FS,FS_5,FS_10,FS_50,FS_90,FS_95,FS_Min,FS_Max,FS_5_FS_95,FS_10_FS_90,FS_Max_FS_Min,LAeq_M0,LAeq_nrmse0,LAeq,LAeq_5,LAeq_10,LAeq_50,LAeq_90,LAeq_95,LAeq_Min,LAeq_Max,LAeq_5_LAeq_95,LAeq_10_LAeq_90,LAeq_Max_LAeq_Min,N_M0,N_nrmse0,N_M1,N_nrmse1,N_M2,N_nrmse2,N_5,N_10,N_50,N_90,N_95,N_Min,N_Max,N_5_N_95,N_10_N_90,N_Max_N_Min,R_M0,R_nrmse0,R,R_5,R_10,R_50,R_90,R_95,R_Min,R_Max,R_5_R_95,R_10_R_90,R_Max_R_Min,S_M0,S_nrmse0,S_M1,S_nrmse1,S_M2,S_nrmse2,S,S_5,S_10,S_50,S_90,S_95,S_Min,S_Max,S_5_S_95,S_10_S_90,S_Max_S_Min,SIL_M0,SIL_nrmse0,SIL_5,SIL_10,SIL_50,SIL_90,SIL_95,SIL_Min,SIL_Max,SIL_5_SIL_95,SIL_10_SIL_90,SIL_Max_SIL_Min,T_M0,T_nrmse0,T_5,T_10,T_50,T_90,T_95,T_Min,T_Max,T_5_T_95,T_10_T_90,SpectralCentroid,MaxFreq,25,31,40,50,63,80,100,125,160,200,250,315,400,500,630,800,1000,1250,1600,2000,2500,3150,4000,5000,6300,8000,10000,12500,16000,20000,PeakSpectralCentroid,PeakMaxFreq,Peak_25,Peak_31,Peak_40,Peak_50,Peak_63,Peak_80,Peak_100,Peak_125,Peak_160,Peak_200,Peak_250,Peak_315,Peak_400,Peak_500,Peak_630,Peak_800,Peak_1000,Peak_1250,Peak_1600,Peak_2000,Peak_2500,Peak_3150,Peak_4000,Peak_5000,Peak_6300,Peak_8000,Peak_10000,Peak_12500,Peak_16000,Peak_20000,I_M0,I_nrmse0,I,I_5,I_10,I_50,I_90,I_95,I_Min,I_Max,I_5_I_95,I_10_I_90,I_Max_I_Min,LCeq_M0,LCeq_nrmse0,LCeq,LCeq_5,LCeq_10,LCeq_50,LCeq_90,LCeq_95,LCeq_Min,LCeq_Max,LCeq_5_LCeq_95,LCeq_10_LCeq_90,LCeq_Max_LCeq_Min,LZeq_M0,LZeq_nrmse0,LZeq,LZeq_5,LZeq_10,LZeq_50,LZeq_90,LZeq_95,LZeq_Min,LZeq_Max,LZeq_5_LZeq_95,LZeq_10_LZeq_90,LZeq_Max_LZeq_Min,THD_M0,THD_nrmse0,THD_5,THD_10,THD_50,THD_90,THD_95,THD_Min,THD_Max,THD_5_THD_95,THD_10_THD_90,THD_Max_THD_Min
528,PL417,PancrasLock4,PancrasLock,,12-31_17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,-3.052286204,27.56489543,0.00441,0.00818,0.00716,0.00352,0.00258,0.00249,0.00225,0.012,0.00569,0.00458,0.00975,-1.791260911,11.04969156,54.75,55.54,55.38,54.68,54.16,54.02,53.6,56.09,1.52,1.22,2.49,-2.48835385,170.982355,-2.630109955,12.38134042,-0.817060827,4.472054354,10.5,10.3,9.69,9.22,9.11,8.42,12.3,1.39,1.08,3.88,-3.432217206,31.71174123,0.0255,0.0343,0.0317,0.0249,0.0198,0.0187,0.0155,0.0551,0.0156,0.0119,0.0396,-2.624709676,17.61357765,-2.720138734,17.60907183,-0.644661248,6.617729257,1.76,1.87,1.83,1.75,1.69,1.67,1.59,2.47,0.2,0.14,0.88,-1.938078389,11.50503374,48.29,48.06,47.38,46.87,46.74,46.19,49.21,1.55,1.19,3.02,-2.805319301,16.82211717,0.225,0.172,0.0412,0.00853,0.00495,0,0.68,0.22005,0.16347,1668.76,25,60.27,59.45,58.95,57.07,54.91,55.19,51.32,48.25,49.74,46.59,43,43.63,45.57,46.79,46.97,46.62,44.94,41.97,40.88,38.56,36.9,35.89,35.22,32.75,26.96,23.48,18.59,14.36,13.97,8.7,2155.65,25,75.53,74.52,73.93,71.36,70.36,68.68,65.99,61.86,58.34,52.82,51.45,50.02,50.94,52.77,52.38,51.96,50.87,45.6,44.49,42.44,41.18,41.94,44.26,51.72,36.97,28.47,26.75,25.52,37.84,24.85,-2.03298225,22.05109549,0.318,0.42,0.377,0.306,0.267,0.258,0.229,0.744,0.162,0.11,0.515,-2.140847083,36.25974654,65.95,70.66,68.66,64.16,61.94,61.62,60.29,77.35,9.04,6.72,17.06,-2.33905268,833.5853781,72.06,77.85,76.08,69.25,65.16,64.49,62.7,81.91,13.36,10.92,19.21,-0.278956792,2.965908586,2.38,1.37,-0.22,-2.4,-2.94,-7.01,5.05,5.32,3.77,12.06
529,PL418,PancrasLock4,PancrasLock,,12-32_18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,-3.372044779,23.26980047,0.0373,0.18,0.153,0.00847,0.00293,0.00272,0.0024,0.21,0.17728,0.15007,0.2076,-2.223173688,95.14560486,59.03,62.79,59.17,56.41,55.53,55.36,54.99,73.92,7.43,3.64,18.93,-2.943144006,707042.8398,-3.082999139,12.07632645,-0.899567236,7.27911238,13.4,12.2,11.2,10.4,10.3,9.51,24.4,3.1,1.8,14.89,-2.557074045,28.67497907,0.0316,0.054,0.0401,0.0276,0.021,0.0197,0.0161,0.235,0.0343,0.0191,0.2189,-2.853764234,18.54947766,-2.967203717,17.39718249,-0.502170836,5.814476913,1.79,1.97,1.91,1.78,1.66,1.64,1.43,2.98,0.33,0.25,1.55,-2.221182448,20.93991523,52.6,50.67,48.84,48.33,48.17,47.69,59.94,4.43,2.34,12.25,-3.14511367,18.1866321,0.362,0.307,0.0941,0.016,0.00921,0,0.985,0.35279,0.291,2099.08,80,53.13,54.23,55.08,55.4,56.98,59.4,57.2,51.87,53.69,51.75,50.01,52.54,50.67,52.62,54.42,49.69,47.68,44.05,42.67,40.55,39.13,37.89,37.23,32.54,30.76,28.67,27.37,29.32,25,18.58,2588.52,630,66.08,65.27,67.34,69.98,74.89,75.86,69.8,66.02,64.03,65.58,69.86,76.09,69.47,76.21,76.66,67.81,64.15,58.33,55.68,55.33,48.07,50.17,54.65,51.63,51.17,49.06,51.38,54.61,45.7,39.29,-2.602092439,24.57204331,0.419,0.918,0.684,0.331,0.249,0.237,0.206,1.56,0.681,0.435,1.354,-2.250747915,75.62795006,66.48,70.61,67.52,64.62,62.66,62.27,61.51,78.33,8.34,4.86,16.82,-2.18450849,43.41161011,68.14,73.04,68.87,66.37,64.69,64.16,62.67,78.85,8.88,4.18,16.18,-0.433784837,3.180760478,4.24,3.55,0.65,-2.1,-2.91,-6.07,6.15,7.15,5.65,12.22
530,PL419,PancrasLock4,PancrasLock,,14-15_35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,-2.160504719,18.45595589,0.0607,0.265,0.19,0.0237,0.00634,0.00556,0.00473,0.299,0.25944,0.18366,0.29427,-2.147018007,14.90025732,60,66.42,63.75,55.03,52.62,52.04,51.11,72.43,14.38,11.13,21.32,-2.913617585,972466.7986,-3.054423774,11.80766773,-2.233465093,2524.748951,19.9,17.3,10,8.35,8.08,7.44,31,11.82,8.95,23.56,-2.491534872,28.51842366,0.0346,0.0682,0.0536,0.0294,0.0212,0.0197,0.0139,0.176,0.0485,0.0324,0.1621,-3.1816569,1602.826923,-3.340995454,16.66847872,-1.881390301,5.591511629,1.89,2.7,2.35,1.74,1.59,1.56,1.4,4.59,1.14,0.76,3.19,-2.230935666,15.51494063,58.08,54.96,46.5,44.57,44.15,43.39,63.63,13.93,10.39,20.24,-3.748737988,3037.32971,0.547,0.371,0.105,0.0232,0.0149,0,1.27,0.5321,0.3478,2532.31,80,50.66,50.19,51.05,52.46,56.89,61.65,60.24,57.6,57.76,55.29,52.82,53.16,54.82,50.12,49.33,49.08,47.1,45.65,44.48,41.89,40.66,40.72,43.55,43.88,45.46,44.84,46.37,39.91,33.1,21.81,2898.01,100,62.38,61.81,61.25,62.62,68.4,76.05,77.69,75.32,74.2,69.53,67.69,66.72,72.78,64.78,62.74,63.43,62.45,60.02,59.6,62.48,60.48,61.99,62.45,63.79,67.36,65.55,69.11,59.95,53.98,42,-2.122911353,21.25921163,0.676,1.38,1.19,0.585,0.311,0.285,0.227,2.05,1.095,0.879,1.823,-2.109580061,14.9611965,68.04,74.81,72.72,64.07,59.75,59.3,58,78,15.51,12.97,20,-1.975929224,14.89553169,69.11,75.2,73.35,66.43,61.83,61.3,59.99,78.38,13.9,11.52,18.39,-0.566640517,3.245804202,4.55,3.96,1.62,-1.31,-2.6,-7.79,7.08,7.15,5.27,14.87
531,PL420,PancrasLock4,PancrasLock,,14-16_36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,-1.826752993,18.48689012,0.00898,0.0241,0.0164,0.0072,0.00373,0.00314,0.00306,0.0312,0.02096,0.01267,0.02814,-1.934807307,11.87630615,54.4,57.86,56.11,53.14,51.87,51.68,51.17,65.87,6.18,4.24,14.7,-2.685563794,12633.88514,-2.818065447,11.89265265,-1.315416978,3.950736491,10.6,9.94,8.45,7.82,7.69,7.16,17.2,2.91,2.12,10.04,-2.581903304,29.6147557,0.0242,0.0327,0.03,0.0235,0.0186,0.0174,0.0136,0.087,0.0153,0.0114,0.0734,-2.528457004,16.4481112,-2.61606136,16.41555653,-1.090254186,5.936683414,1.78,2.03,1.94,1.74,1.66,1.64,1.55,2.76,0.39,0.28,1.21,-1.935886587,10.57062023,49.86,48.29,45.27,44.08,43.87,43.47,55.67,5.99,4.21,12.2,-3.513113159,193.0512509,0.317,0.233,0.0469,0.00916,0.00521,0,0.765,0.31179,0.22384,2046.03,40,48.8,49.25,49.75,49.44,48.83,48.6,48.6,48.27,48.84,48.45,46.1,45.06,43.55,44.28,45.62,45.99,45.93,43.76,43.24,42.2,37.04,35.3,35.1,31.77,29.15,28.31,26.8,23.18,20.04,13.29,2577.84,125,62.73,58.18,57.09,57.57,57.37,59.1,60.32,65.04,60.37,58.43,54.02,54.87,52.28,55.19,55.6,57.22,62.13,63.23,63.06,63.2,52.68,50.55,50.02,52.11,47.94,47.68,43.76,42.29,39.31,29.96,-1.939140822,18.55291545,0.41,0.802,0.642,0.347,0.272,0.26,0.206,2.08,0.542,0.37,1.874,-1.913924029,9.802640701,59.94,61.91,61.37,59.54,58.48,58.24,56.92,65.65,3.67,2.89,8.73,-1.979087089,10.63510474,61.75,63.9,63.33,61.31,60.16,59.85,58.84,66.76,4.05,3.17,7.92,-0.283721265,3.076719489,4.48,3.66,0.93,-0.9,-1.72,-4.24,7.49,6.2,4.56,11.73
532,PL421,PancrasLock4,PancrasLock,,14-16_37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,-1.985100812,18.91407854,0.0149,0.053,0.0267,0.0109,0.00397,0.00327,0.00291,0.0619,0.04973,0.02273,0.05899,-2.402810523,1049.035566,55.06,60.17,55.77,52.53,51.83,51.71,51.05,70.9,8.46,3.94,19.85,-2.757568014,44133.75979,-2.897634607,11.8160707,-0.878794367,3.117952628,10,9.08,8.24,7.87,7.77,7.16,27.2,2.23,1.21,20.04,-2.447441932,28.87898035,0.0243,0.0341,0.0308,0.0233,0.0181,0.0169,0.0126,0.153,0.0172,0.0127,0.1404,-2.780137511,17.73334366,-2.914714224,17.04043317,-0.374683248,6.664752036,1.8,1.88,1.86,1.8,1.74,1.7,1.51,3.12,0.18,0.12,1.61,-2.599352412,7105.102635,50.96,47.64,45.15,44.51,44.4,44.02,63.2,6.56,3.13,19.18,-3.75203155,1967.337495,0.364,0.205,0.0317,0.00783,0.00518,0,0.799,0.35882,0.19717,2157.39,50,45.93,46.78,48.46,49.4,47.52,44.34,43.93,45.42,46.75,48.41,46.4,44.54,46.08,46.86,48.33,47.03,44.9,42.55,41.11,39.93,41.73,37,38.1,33.71,33.14,34.7,30.36,27.37,18.74,12.08,2911.63,2500,54.37,56.42,57.35,56.89,55.04,54.31,51.77,52.44,53.38,60,60.27,62.17,65.85,66.82,66.46,65.33,64.77,61.92,61.72,63.76,68.55,60.26,63.83,59.75,60.05,62.77,57.87,55.07,44.8,37.14,-2.322588906,21.44392535,0.528,1.02,0.807,0.423,0.279,0.266,0.224,4.17,0.754,0.528,3.946,-2.193471791,28.95402715,59.33,63.76,60.22,58.2,57.47,57.31,56.53,70.19,6.45,2.75,13.66,-2.151174562,22.38814441,60.63,64.6,61.35,59.77,58.9,58.7,57.94,70.89,5.9,2.45,12.95,-0.280432771,3.013544359,3.42,3.02,1.13,-0.35,-0.68,-2.72,6.23,4.1,3.37,8.95
533,PL422,PancrasLock4,PancrasLock,,14-17_38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,-2.400043486,23.5045758,0.00664,0.0276,0.0144,0.00343,0.00242,0.0023,0.0022,0.0471,0.0253,0.01198,0.0449,-2.111501072,11.84090318,51.32,52.84,52.05,50.91,50.24,50.1,49.64,59.84,2.74,1.81,10.2,-2.578601371,1392.025441,-2.696012197,12.50705974,-0.583734962,2.718513838,8.36,8.02,7.48,7.07,6.95,6.34,13.4,1.41,0.95,7.06,-2.281215717,28.27835201,0.0235,0.0323,0.0297,0.0228,0.0176,0.0165,0.0122,0.0757,0.0158,0.0121,0.0635,-2.623661488,17.13356482,-2.730962773,16.95868951,-1.561455511,6.765762896,1.77,1.89,1.85,1.78,1.7,1.57,1.27,2.31,0.32,0.15,1.04,-2.247095938,15.05425311,45.04,44.47,43.62,43.02,42.87,41.89,52.92,2.17,1.45,11.03,-3.258076475,22.35878816,0.221,0.147,0.0245,0.0051,0.0027,0,0.636,0.2183,0.1419,1797.11,25,61.68,59.42,57.91,55.13,52.26,49.02,46.46,45.34,45.79,45.69,43.86,42.58,42.35,42.99,44.22,43.42,41.87,39.87,38.37,36.91,35.32,33.08,32.97,28.45,25.72,24.52,23,19.03,15.5,9.45,2192.83,25,81.09,78.85,76.73,74.63,72.29,67.91,65.64,62.73,56.47,53.19,50.96,52.91,51.22,53.2,60.17,56.03,54.1,52.79,53.11,53.41,46.08,44.5,45.52,43.79,40.19,39.52,39.17,35.26,31.99,22.33,-2.492661033,24.15134622,0.413,0.84,0.742,0.333,0.279,0.267,0.228,1.15,0.573,0.463,0.922,-1.87655144,14.07311021,66.15,63.91,60.38,57.4,56.38,56.17,55.1,82.7,7.74,4,27.6,-2.059782807,164.1037791,72.79,74.18,69.09,62.25,58.47,58.09,56.89,89.65,16.09,10.62,32.76,-0.409048915,3.100281337,2.69,2.11,0.1,-1.71,-2.5,-7.02,6.57,5.19,3.82,13.59
534,PL423,PancrasLock4,PancrasLock,,14-18_38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,-2.950814849,25.00730019,0.017,0.046,0.0395,0.013,0.00587,0.00506,0.0033,0.0547,0.04094,0.03363,0.0514,-2.550862037,452.6511807,55.53,59.84,58.22,53.94,52.09,51.49,50.32,64.82,8.35,6.13,14.5,-2.799846187,34177.92962,-2.924596561,12.26439217,-1.191417129,5.148562328,12.7,11.6,9.3,8.08,7.87,7.09,17.3,4.83,3.52,10.21,-2.386082675,28.41608371,0.0291,0.0444,0.0383,0.0272,0.0211,0.02,0.0165,0.09,0.0244,0.0172,0.0735,-2.861767282,18.80132174,-2.978586295,17.32490236,-0.710002311,5.817165306,1.56,1.76,1.68,1.54,1.45,1.41,1.3,2.51,0.35,0.23,1.21,-2.432744788,47.41030653,50.26,48.89,45.36,43.83,43.45,42.43,55.9,6.81,5.06,13.47,-3.753249703,3603.471543,0.396,0.28,0.0655,0.0152,0.0106,0,1.02,0.3854,0.2648,1731.4,25,67.84,66.64,65.88,63.97,62.72,60.1,56.58,53.31,50.9,47.99,45.41,46.33,46.67,47.45,49.42,47.76,44.89,42.56,43.31,40.78,37.43,34.3,32.28,28.02,25.94,23.97,22.33,21.72,17.93,10.86,2179.18,25,82.31,81.21,80.28,77.49,77.85,75.31,72.22,70.89,65.71,60.35,58.92,58.62,60.09,65.94,66.27,60.84,56.81,57.07,58.38,55.69,46.8,47.71,44.48,41.23,39.36,37.85,41.85,40.08,38.53,24.44,-2.019228045,21.1890886,0.43,0.627,0.536,0.406,0.34,0.325,0.263,0.901,0.302,0.196,0.638,-2.263239584,389.2050077,73.56,78.68,76.68,71.85,66.23,65.3,62.19,82.38,13.38,10.45,20.19,-2.40324235,2026.290607,79.05,83.84,81.94,77.44,72.54,71.42,68.52,87.54,12.42,9.4,19.02,0.06294919,3.101147297,0.97,0.45,-1.03,-3.93,-5.11,-9.35,4.27,6.08,4.38,13.62
535,PL424,PancrasLock4,PancrasLock,,14-18_39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,-1.858752943,19.00640334,0.0109,0.0311,0.0279,0.00659,0.00369,0.00348,0.00272,0.0356,0.02762,0.02421,0.03288,-2.334104845,21.94298576,51.86,54,53.54,51.38,50.13,49.94,49.57,55.79,4.06,3.41,6.22,-2.543605002,367.1637582,-2.672501709,12.63439192,-1.075970618,3.791192161,8.56,8.36,7.59,7.15,7.05,6.61,10.6,1.51,1.21,3.99,-2.230593804,28.06165263,0.0253,0.0343,0.0317,0.0245,0.0197,0.0185,0.0129,0.0528,0.0158,0.012,0.0399,-2.474226921,17.59020823,-2.581261913,17.60329041,-1.017813801,8.052694086,1.68,1.75,1.73,1.68,1.62,1.6,1.39,1.88,0.15,0.11,0.49,-2.410769929,19.99502659,45.55,45.21,43.79,42.82,42.66,42.17,46.61,2.89,2.39,4.44,-3.755469995,3503.411042,0.277,0.198,0.0435,0.00989,0.00672,0,0.753,0.27028,0.18811,1596.88,25,60.24,57.65,55.94,53.22,50.04,46.94,44.86,44.75,46.75,46.71,45.23,43.45,43.08,43.35,44.26,45.14,43.49,41.39,38.63,35.42,34.62,32.94,31.37,26.7,24.77,19.98,16.66,14.42,10.84,7.7,1956.34,25,76.47,73.91,72.28,71.29,65.32,66.34,62.91,57.38,53.67,54.61,53.41,51.25,52.17,50.94,53.94,55.15,54.5,54.9,51.13,41.34,42.06,41.75,39.57,31.13,33.86,31.07,28.07,30.22,26.01,17.02,-2.016131033,20.700395,0.41,0.676,0.605,0.368,0.293,0.279,0.239,1.16,0.397,0.312,0.921,-2.249453922,291.3169484,64.11,69.8,67.45,61.14,59.06,58.67,56.72,76.17,11.13,8.39,19.45,-2.953258535,2070710.509,73.46,79.02,76.75,70.33,66.58,65.62,63.17,85.65,13.4,10.17,22.48,-0.239567234,2.955175974,1,0.5,-0.99,-3.5,-4.23,-10.25,6.11,5.23,4,16.36
536,PL425,PancrasLock4,PancrasLock,,14-19_40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,-2.167967051,22.55674547,0.0132,0.0258,0.0231,0.0111,0.00536,0.00413,0.00376,0.0366,0.02167,0.01774,0.03284,-2.43904496,28.11480055,51.51,53.34,52.71,51.3,50.05,49.81,49.23,55.02,3.53,2.66,5.79,-2.52044299,150.3894918,-2.636192921,12.57037606,-1.233834277,3.684817083,8.54,8.27,7.42,6.87,6.77,6.29,10.2,1.77,1.4,3.91,-2.537510064,29.58759807,0.0239,0.0323,0.0298,0.0234,0.0187,0.0176,0.0136,0.0448,0.0147,0.0111,0.0312,-2.473384618,17.84327282,-2.559667317,17.85867525,-1.035277493,7.428314867,1.52,1.59,1.57,1.52,1.45,1.43,1.37,1.79,0.16,0.12,0.42,-2.445380438,19.51854584,44.78,44.37,43.21,42.15,41.94,41.54,46.47,2.84,2.22,4.93,-3.718963289,925.7733783,0.264,0.196,0.075,0.0166,0.00963,0,0.757,0.25437,0.1794,1533.74,25,61.3,60.02,59.09,56.67,54.96,52.59,48.47,45.83,46.78,46.19,44.14,42.48,41.94,43.23,43.76,44.09,41.66,42.41,41.42,37.46,34.9,30.73,30.62,25.5,22.55,19.98,15.56,12.85,10.96,7.78,1869.52,25,74.46,72.09,70.9,67.94,68.82,66.84,60.99,57.97,53.75,53.15,49.91,49.57,48.47,55.74,52.54,52.39,53.57,53.9,51.42,47.87,42.03,34.84,34.7,29.49,27.58,26.71,26.51,25.69,23.75,17.84,-2.07621854,22.90063134,0.316,0.379,0.363,0.313,0.272,0.262,0.228,0.473,0.117,0.091,0.245,-2.281091924,183.729089,65.85,70.42,69.38,64.7,57.86,57.25,55.93,72.68,13.17,11.52,16.75,-2.57261249,10171.37385,72.55,77.36,76.11,71.37,62.88,61.22,59.02,80.55,16.14,13.23,21.53,-0.247306883,3.184648805,1.47,0.87,-0.76,-3.62,-4.7,-7.96,5.92,6.17,4.49,13.88
537,PL426,PancrasLock4,PancrasLock,,14-20_43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,-2.207141993,21.75326699,0.0105,0.0276,0.0209,0.00831,0.0043,0.00356,0.00273,0.0342,0.02404,0.0166,0.03147,-1.994847796,11.80007521,53.61,56.57,55.15,52.53,51.57,51.37,50.46,65.1,5.2,3.58,14.64,-2.639789708,2744.989042,-2.763269703,12.20415223,-0.431197501,3.491207366,9.99,9.09,8.21,7.79,7.69,7.24,18.3,2.3,1.3,11.06,-2.081045717,26.46758226,0.025,0.0373,0.0319,0.023,0.0181,0.0171,0.0124,0.135,0.0202,0.0138,0.1226,-2.84667755,18.34297318,-2.983849366,17.51508152,-0.267943662,6.849280794,1.78,1.86,1.83,1.77,1.72,1.7,1.48,2.81,0.16,0.11,1.33,-1.977419862,10.68290928,49.35,47.74,45.04,44.26,44.12,42.97,56.4,5.23,3.48,13.43,-3.720922598,630.579426,0.291,0.171,0.0273,0.00709,0.0042,0,0.97,0.2868,0.16391,1877.65,50,47.3,48,49.24,49.87,48.46,45.67,46.54,45.66,47.94,47.55,45.88,43.94,45.46,46.68,47.01,45.31,43.77,43.04,40.11,39.66,38.32,35.22,34.33,30.32,27.87,26.45,21.87,18.83,15.99,10.04,2337.76,250,56.45,56.08,57.83,59.14,61.6,58.97,59.65,62.74,65.26,62.09,66.03,60.93,61.72,65.55,64.72,60.97,54.79,60.01,49.48,51.24,51.63,50.47,46.46,46.46,41.79,42.15,37.39,33.88,32.85,29,-3.88059798,29.08738856,0.343,0.56,0.443,0.308,0.259,0.247,0.196,1.57,0.313,0.184,1.374,-2.046536553,11.43998726,59.18,60.95,60.11,58.6,57.64,57.38,56.55,69.81,3.57,2.47,13.26,-2.055221825,12.4239279,60.96,62.61,61.94,60.56,59.54,59.29,58.24,70.07,3.32,2.4,11.83,-0.270982187,3.177017803,3.5,2.87,0.55,-0.86,-1.55,-3.48,6.25,5.05,3.73,9.73
538,PL427,PancrasLock4,PancrasLock,,14-20_44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,0,0,0,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,0,0,0,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,0,0,0,,,,,,,,,,,0,0,0,,,,,,,,,,0,0,0
539,PL428,PancrasLock4,PancrasLock,,14-21_44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,-2.19746453,23.04314389,0.00577,0.014,0.0119,0.00441,0.00254,0.00234,0.0019,0.0172,0.01166,0.00936,0.0153,-2.231390068,12.11860463,53.72,55.99,55.04,53.27,52.67,52.55,52.16,60.45,3.44,2.37,8.29,-2.487715067,155.1741112,-2.590250008,12.40136504,-1.146316089,3.041062031,10.6,10.1,8.97,8.47,8.37,7.9,13,2.23,1.63,5.1,-2.584339973,29.27340034,0.027,0.0438,0.0334,0.0244,0.0194,0.0182,0.0137,0.127,0.0256,0.014,0.1133,-2.53803968,17.65248867,-2.630584066,17.66398554,-1.094619669,7.199743711,1.81,1.91,1.89,1.82,1.7,1.68,1.59,2.05,0.23,0.19,0.46,-2.222247013,11.96833224,47.57,46.99,45.91,45.42,45.29,44.93,50.71,2.28,1.57,5.78,-3.846538016,1580.394892,0.203,0.122,0.0242,0.00652,0.00398,0,0.758,0.19902,0.11548,1801.69,25,59.92,59.68,59.53,58.25,56.96,54.47,50.88,47.58,47.4,46.87,45.54,43.7,43.93,44.65,46.4,46.48,44.93,43.5,41.19,40.23,38.76,35.06,34.87,31.23,28.74,26.72,22.8,20.21,16.64,8.93,1869.86,50,71.18,71.18,71.35,72.35,70.96,67.34,63.92,59.4,56.06,54.8,54.01,52.7,50.54,50.33,52.51,58.18,57.06,58.41,59.46,50.95,45.28,46.51,41.18,38.73,33.2,33.03,30.4,26.24,21.04,13.38,-2.300010262,24.50280549,0.302,0.363,0.347,0.301,0.256,0.248,0.212,0.443,0.115,0.091,0.231,-2.09809116,18.17921133,66.21,70.68,69.71,63.95,58.61,58.11,57.32,73.59,12.57,11.1,16.27,-2.289036042,211.9154649,70.87,75.19,74.52,68.84,62.14,60.71,59.23,78.37,14.48,12.38,19.14,-0.297885833,2.927122088,2.07,1.28,-0.34,-2.77,-3.89,-7.24,5.09,5.96,4.05,12.33
